Registration Number,First Name,Middle Name,Last Name,Gender,Date of Birth,Nationality,Country of Residence,Phone Number,Email Address,Home Address,City,State,Zip Code,University,Current GPA / CGPA,Previous GPA (historic tracking),Credits Completed,Credits Remaining,Courses Enrolled Per Semester,Course Codes,Course Units,Technical Skills,Soft Skills,Research Interests,Professional Interests,Hobbies,Preferred Learning Style,Study Partners Preferences,Preferred Study Hours,CS and Data Science Interests
202348009,Liam,Anna,King,Male,2004-12-17,United States,United States,(265) 384-4557,liam.king33@gmail.com,8535 Park Avenue,Chicago,GA,98262,Georgia Institute of Technology,3.83,3.75; 3.44,115,8,5,"DS401, ECON101, ECON101, ECON101, EE301",17,"Machine Learning, JavaScript, R, Deep Learning","Problem-solving, Communication, Critical Thinking, Time Management, Leadership, Teamwork","Machine Learning, Cybersecurity, None","AI Researcher, Cybersecurity Analyst, Data Scientist, Software Engineer","Hiking, Reading, Photography",Kinesthetic,Online,Morning,"AI, Data Science, Computer Vision"
202524761,Beau,Hailey,Watson,Male,2006-09-20,United States,United States,(872) 450-1826,beau.watson28@gmail.com,588 Sunset Street,Austin,MA,61685,California Institute of Technology,2.97,3.96; 3.21; 3.0; 3.34; 2.95,38,86,3,"CYBER301, BIO202, DS401",12,"R, Machine Learning, JavaScript, Git","Critical Thinking, Leadership, Communication, Time Management, Problem-solving","Data Science, Machine Learning, Cybersecurity",Cybersecurity Analyst,"Photography, Reading, Hiking, Music, Cooking, Sports",Kinesthetic,Online,Late night,"Computer Vision, Data Science, AI"
202152141,Rowan,Austin,Lopez,Male,2003-04-19,United States,United States,(928) 320-1881,rowan.lopez46@gmail.com,"6733 Cedar Street, Apt 198",Chicago,GA,53744,Johns Hopkins University,2.97,2.51; 3.16,24,104,5,"ML502, PHYS101, BIO202, ECON101, ML502",17,"Java, Git, SQL, Python, Docker, AWS, PyTorch, Pandas","Time Management, Teamwork, Critical Thinking, Problem-solving, Leadership",None,"Data Scientist, Cybersecurity Analyst, ML Engineer, Software Engineer","Hiking, Gaming, Cooking, Sports, Music",Reading/Writing,Online,Late night,"Computer Vision, AI, Cybersecurity, NLP"
202441128,Leilani,Elena,Howard,Female,2001-06-01,United States,United States,(220) 360-2054,leilani.howard32@gmail.com,"7869 Oak Avenue, Apt 178",Miami,NY,52684,University of Texas at Austin,2.8,2.37; 3.64; 2.96; 2.1,47,81,4,"ML502, CS101, AI501, DS401",15,"Machine Learning, AWS, Deep Learning, SQL, Java, R","Problem-solving, Teamwork, Leadership, Communication, Time Management, Critical Thinking",NLP,"Software Engineer, AI Researcher, Data Scientist","Music, Photography",Kinesthetic,One-on-one,Afternoon,"Machine Learning, Computer Vision"
202367787,Lucy,Julian,Ruiz,Female,2004-08-16,United States,United States,(812) 864-7716,lucy.ruiz39@gmail.com,"9215 Park Drive, Apt 7",Houston,CA,97411,Carnegie Mellon University,2.56,3.09,60,69,4,"PHYS101, CS101, EE301, PHYS101",14,"C++, Git, AWS, PyTorch, SQL, Docker","Problem-solving, Communication, Time Management, Leadership, Teamwork","NLP, Machine Learning, Computer Vision","Software Engineer, ML Engineer","Cooking, Sports",Visual,Alone,Late night,"Data Science, Computer Vision, Cybersecurity"
202229908,Athena,Henry,Myers,Female,2004-10-18,United States,United States,(439) 507-8277,athena.myers57@gmail.com,"8995 Oak Drive, Apt 4",Atlanta,CA,24270,University of Illinois Urbana-Champaign,2.3,3.11; 3.36; 2.84; 3.19; 3.61,81,37,6,"MATH101, MATH101, AI501, EE301, DATA201, DATA201",22,"Pandas, TensorFlow, Git, JavaScript, Cybersecurity","Time Management, Leadership, Critical Thinking, Communication, Problem-solving, Teamwork","Artificial Intelligence, Computer Vision, None, Cybersecurity",Data Scientist,"Music, Sports, Gaming",Reading/Writing,Small group,Evening,"AI, Cybersecurity, Machine Learning"
202407756,Jameson,Bennett,Johnson,Male,2001-01-16,United States,United States,(646) 573-4358,jameson.johnson79@gmail.com,"4236 Park Avenue, Apt 193",New York,GA,94095,Columbia University,3.26,3.19,84,37,6,"ECON101, PHYS101, CS101, DATA201, CYBER301, ML502",21,"PyTorch, AWS, Deep Learning, R, Machine Learning, Docker","Time Management, Critical Thinking, Communication, Problem-solving, Leadership","Artificial Intelligence, Machine Learning, None","AI Researcher, ML Engineer, Cybersecurity Analyst","Music, Reading, Photography, Gaming, Sports, Cooking",Auditory,One-on-one,Late night,"Data Science, None, Computer Vision"
202300577,Lily,Gianna,Brooks,Female,2001-11-22,United States,United States,(559) 957-2856,lily.brooks57@gmail.com,"2420 Cedar Lane, Apt 71",Austin,WA,60264,California Institute of Technology,3.83,None,35,92,6,"MATH101, CYBER301, BIO202, CYBER301, DS401, PHYS101",20,"Git, R, AWS, Deep Learning","Teamwork, Communication, Critical Thinking, Time Management, Problem-solving","Cybersecurity, Machine Learning","Cybersecurity Analyst, Data Scientist, AI Researcher","Reading, Gaming, Hiking, Cooking, Photography",Visual,Online,Evening,"Machine Learning, Cybersecurity"
202230154,Xavier,Jace,Ward,Male,2004-07-09,United States,United States,(794) 856-9445,xavier.ward93@gmail.com,"9689 Lake Street, Apt 147",Chicago,TX,25733,University of Michigan--Ann Arbor,3.31,None,140,0,6,"DATA201, ML502, PSY101, ECON101, CYBER301, BIO202",22,"Deep Learning, Git, Cybersecurity, Machine Learning","Time Management, Problem-solving, Critical Thinking","None, Cybersecurity, NLP, Artificial Intelligence",AI Researcher,"Sports, Hiking, Reading, Music",Auditory,Online,Afternoon,"Computer Vision, None, AI, NLP, Data Science"
202035965,Natalia,Waylon,Price,Female,2002-08-28,United States,United States,(718) 887-9205,natalia.price39@gmail.com,6731 Maple Avenue,Seattle,MA,60569,California Institute of Technology,2.7,3.24; 3.34,104,19,6,"CYBER301, CYBER301, CS101, BIO202, ML502, CS101",22,"Docker, R, Pandas","Leadership, Time Management, Teamwork, Critical Thinking, Problem-solving","Cybersecurity, Computer Vision, Data Science","Cybersecurity Analyst, Data Scientist","Sports, Reading, Music, Hiking, Gaming, Cooking",Auditory,Alone,Late night,"Data Science, None, Machine Learning, AI, Computer Vision"
202446802,Isaac,Olivia,Peterson,Male,2006-01-17,United States,United States,(905) 396-1579,isaac.peterson68@gmail.com,"560 Pine Boulevard, Apt 134",Houston,GA,84601,Duke University,3.79,3.54; 2.22; 3.96; 3.45,58,61,3,"DATA201, CYBER301, CS101",10,"AWS, JavaScript, Python, Git, Cybersecurity","Critical Thinking, Time Management, Leadership, Problem-solving, Teamwork","Data Science, Machine Learning, NLP","Cybersecurity Analyst, AI Researcher, ML Engineer, Data Scientist","Music, Photography",Reading/Writing,One-on-one,Evening,"Cybersecurity, Data Science, Machine Learning, None, NLP"
202302126,Liam,Micah,Myers,Male,2005-12-16,United States,United States,(316) 216-5690,liam.myers11@gmail.com,"7987 Pine Road, Apt 4",New York,TX,53019,University of Wisconsin--Madison,3.47,3.5; 3.3; 3.47; 3.1; 2.05; 3.08,96,24,6,"PSY101, AI501, BIO202, MATH101, ECON101, BIO202",20,"Python, Machine Learning, Docker, Pandas, SQL","Teamwork, Problem-solving, Time Management, Critical Thinking","NLP, Artificial Intelligence, Data Science, None",AI Researcher,"Hiking, Music, Photography, Reading",Auditory,One-on-one,Morning,"Data Science, Computer Vision, Cybersecurity"
202589742,William,Mateo,Flores,Male,2004-05-17,United States,United States,(422) 613-5798,william.flores63@gmail.com,655 Lake Lane,Austin,CA,63233,Columbia University,3.79,3.25; 2.07; 3.3; 2.62,93,36,4,"MATH101, MATH101, ECON101, PSY101",13,"Deep Learning, C++, SQL, R","Time Management, Teamwork, Problem-solving, Critical Thinking, Communication",Cybersecurity,AI Researcher,"Sports, Photography, Cooking",Reading/Writing,Online,Afternoon,"AI, None, Computer Vision, Cybersecurity, Machine Learning"
202018683,Robert,Gabriella,Peterson,Male,2004-01-25,United States,United States,(435) 841-9938,robert.peterson38@gmail.com,"9113 Lake Way, Apt 189",Austin,TX,51442,Massachusetts Institute of Technology,2.48,None,111,2,6,"CS101, ECON101, EE301, CS201, DATA201, EE301",20,"TensorFlow, Java, PyTorch, C++, AWS, Deep Learning","Teamwork, Critical Thinking, Problem-solving, Leadership, Communication","Data Science, None","AI Researcher, Cybersecurity Analyst","Reading, Gaming, Sports",Auditory,Online,Morning,"Data Science, None"
202401242,Lillian,Jayden,Foster,Female,2004-12-23,United States,United States,(284) 471-5136,lillian.foster58@gmail.com,"8262 Hill Road, Apt 126",Seattle,CA,82793,California Institute of Technology,2.4,3.3; 3.23; 2.9; 2.93,74,56,4,"BIO202, PHYS101, BIO202, ECON101",14,"Cybersecurity, Git, R","Communication, Critical Thinking, Teamwork","Machine Learning, Data Science","AI Researcher, ML Engineer, Cybersecurity Analyst","Hiking, Photography, Gaming, Music, Sports, Cooking",Kinesthetic,One-on-one,Morning,"None, AI, Machine Learning, Data Science, Cybersecurity"
202199580,Luke,Naomi,Cook,Male,2005-10-22,United States,United States,(560) 395-5627,luke.cook20@gmail.com,2312 Main Lane,Austin,FL,87886,University of Michigan--Ann Arbor,2.97,3.47; 2.62,59,66,6,"CS101, MATH101, MATH101, CYBER301, CS201, MATH101",21,"R, Cybersecurity, Git, Java, AWS","Leadership, Problem-solving, Critical Thinking, Teamwork",Computer Vision,"Software Engineer, AI Researcher, Data Scientist","Photography, Reading",Kinesthetic,One-on-one,Afternoon,"None, Machine Learning, Data Science"
202426465,Olivia,Jace,Phillips,Female,2006-08-24,United States,United States,(681) 362-8394,olivia.phillips32@gmail.com,1111 Lake Road,New York,GA,30493,Carnegie Mellon University,3.1,2.78,67,52,3,"PHYS101, AI501, PHYS101",9,"C++, Git, Cybersecurity, Docker","Critical Thinking, Problem-solving, Time Management, Leadership, Communication, Teamwork","None, Computer Vision, Artificial Intelligence, Cybersecurity","ML Engineer, Cybersecurity Analyst, AI Researcher, Data Scientist","Cooking, Hiking, Gaming, Sports",Kinesthetic,Small group,Morning,"Data Science, None"
202198612,Allison,Hazel,Lee,Female,2005-07-10,United States,United States,(404) 304-6224,allison.lee86@gmail.com,6798 Lake Road,Seattle,FL,62997,Purdue University,3.4,3.29; 2.42; 2.37,63,49,6,"DATA201, CS101, CS201, DS401, ECON101, ML502",20,"Java, AWS, Python, Cybersecurity, Git, PyTorch, SQL, Machine Learning","Leadership, Problem-solving, Critical Thinking, Communication",,ML Engineer,"Cooking, Photography, Hiking",Kinesthetic,Small group,Morning,Cybersecurity
202430333,Vivian,Bella,Walker,Female,2006-06-06,United States,United States,(868) 378-3351,vivian.walker40@gmail.com,9015 Oak Road,Boston,NY,51618,University of California--San Diego,3.29,None,20,102,6,"ML502, ECON101, ML502, MATH101, PHYS101, DS401",21,"Docker, AWS, PyTorch, TensorFlow, C++, Machine Learning, R, Java, Deep Learning","Problem-solving, Teamwork, Leadership, Critical Thinking",,"Data Scientist, Software Engineer, Cybersecurity Analyst, ML Engineer","Reading, Sports",Reading/Writing,Online,Morning,"Machine Learning, Computer Vision, NLP, AI"
202018759,Everett,Delilah,Morris,Male,2004-12-20,United States,United States,(399) 833-1164,everett.morris78@gmail.com,"3113 Sunset Lane, Apt 102",Seattle,CA,79913,Georgia Institute of Technology,2.66,2.19; 2.78; 3.86; 3.35,56,57,5,"EE301, BIO202, DATA201, ML502, ECON101",17,"Python, Cybersecurity, R, Pandas","Leadership, Problem-solving, Teamwork, Critical Thinking, Time Management, Communication","Data Science, Cybersecurity","Cybersecurity Analyst, Data Scientist, Software Engineer","Gaming, Music, Photography",Visual,One-on-one,Afternoon,"NLP, Machine Learning"
202431060,Owen,Ivy,Collins,Male,2002-12-17,United States,United States,(813) 735-4967,owen.collins62@gmail.com,"5473 Elm Street, Apt 29",Miami,FL,82177,University of Illinois Urbana-Champaign,3.46,3.79; 2.98; 3.77; 2.58; 3.28; 3.01,117,2,5,"ML502, PSY101, CS101, CS201, CYBER301",18,"R, Cybersecurity, PyTorch, Machine Learning, Deep Learning, Python, SQL, Pandas, AWS","Time Management, Problem-solving, Communication, Teamwork",,"Cybersecurity Analyst, Software Engineer, AI Researcher, ML Engineer","Reading, Music, Gaming",Visual,Alone,Afternoon,"NLP, Computer Vision, None"
202406573,Wyatt,Josiah,Clark,Male,2002-03-27,United States,United States,(961) 482-3137,wyatt.clark98@gmail.com,"6240 Sunset Lane, Apt 108",New York,NY,16391,Duke University,2.44,2.06; 3.77; 3.35,68,52,4,"CS201, MATH101, ML502, DATA201",13,"Git, Deep Learning, JavaScript, Machine Learning, Java, Cybersecurity","Communication, Teamwork, Leadership",Artificial Intelligence,Software Engineer,"Reading, Hiking, Music, Photography, Sports",Kinesthetic,One-on-one,Late night,"AI, Cybersecurity, None"
202102566,Amelia,Victoria,Martinez,Female,2001-02-17,United States,United States,(255) 606-7786,amelia.martinez42@gmail.com,"193 Maple Boulevard, Apt 198",Houston,WA,30617,University of Washington,3.66,2.73,109,3,6,"DS401, BIO202, CS201, MATH101, AI501, AI501",20,"Git, Python, C++, SQL, TensorFlow, Machine Learning, JavaScript, R","Problem-solving, Critical Thinking, Communication, Teamwork, Leadership, Time Management","Data Science, Artificial Intelligence","AI Researcher, Data Scientist, Software Engineer, ML Engineer","Photography, Hiking, Cooking, Music, Sports",Kinesthetic,Small group,Late night,Cybersecurity
202227366,Leilani,Aaliyah,Price,Female,2002-04-18,United States,United States,(276) 888-4340,leilani.price57@gmail.com,6670 Lake Way,Austin,NY,51582,New York University,3.77,None,38,74,5,"AI501, AI501, ML502, CS201, BIO202",20,"Cybersecurity, Pandas, Docker","Teamwork, Time Management, Critical Thinking, Communication, Leadership","Computer Vision, Cybersecurity, NLP","Software Engineer, AI Researcher, Data Scientist","Gaming, Sports",Visual,Alone,Morning,"Data Science, AI, None, Computer Vision"
202458948,Gianna,Lincoln,Wood,Female,2002-04-10,United States,United States,(766) 352-5766,gianna.wood10@gmail.com,1796 Pine Boulevard,Los Angeles,NY,69647,Stanford University,2.58,3.93,135,0,6,"CS101, CYBER301, CS201, ML502, MATH101, ML502",21,"Git, Deep Learning, SQL","Communication, Leadership, Critical Thinking, Problem-solving",,AI Researcher,"Sports, Photography, Music, Cooking, Reading",Kinesthetic,Small group,Afternoon,"None, AI"
202454196,Zoey,Luke,Myers,Female,2001-11-21,United States,United States,(970) 476-6152,zoey.myers2@gmail.com,7025 Lake Road,Houston,WA,22818,Harvard University,3.37,3.23; 2.48,123,0,5,"ECON101, ML502, BIO202, PHYS101, CYBER301",17,"Python, Machine Learning, R, PyTorch, SQL, Java","Critical Thinking, Leadership, Problem-solving",,"AI Researcher, Cybersecurity Analyst","Hiking, Reading, Photography",Reading/Writing,Alone,Late night,"Data Science, NLP, Cybersecurity, None, Computer Vision"
202051151,Isabella,Joseph,Bailey,Female,2006-11-29,United States,United States,(460) 204-4510,isabella.bailey61@gmail.com,"3826 Main Road, Apt 28",Boston,MA,74022,University of Wisconsin--Madison,2.82,2.48; 2.53; 2.45,135,0,6,"DATA201, PHYS101, ECON101, DATA201, ECON101, CS201",21,"Java, Pandas, Cybersecurity","Time Management, Problem-solving, Critical Thinking, Leadership, Teamwork","Cybersecurity, Machine Learning, Computer Vision, Artificial Intelligence","AI Researcher, Software Engineer, ML Engineer","Music, Cooking, Gaming, Reading",Kinesthetic,Online,Afternoon,"Data Science, NLP, AI, None"
202157383,Jace,Kinsley,Cox,Male,2002-12-06,United States,United States,(883) 320-8542,jace.cox75@gmail.com,4818 Oak Boulevard,Los Angeles,WA,45311,Georgia Institute of Technology,2.36,3.44; 3.84; 3.27; 3.86; 2.76,139,0,3,"CS101, BIO202, ECON101",9,"TensorFlow, C++, AWS, Deep Learning, Pandas","Leadership, Teamwork, Critical Thinking, Problem-solving","Data Science, None, Machine Learning","Software Engineer, Data Scientist, AI Researcher","Photography, Music, Reading, Hiking",Auditory,Online,Morning,"AI, Machine Learning, Cybersecurity"
202346037,Wesley,Valentina,Price,Male,2003-02-12,United States,United States,(431) 856-1035,wesley.price99@gmail.com,"2458 Cedar Road, Apt 167",Houston,GA,43342,University of Michigan--Ann Arbor,2.61,2.2; 3.79; 3.44; 2.02; 2.51; 2.07,76,49,5,"AI501, ML502, PSY101, ML502, PHYS101",17,"R, Cybersecurity, Pandas, Machine Learning, PyTorch, AWS, Docker","Time Management, Critical Thinking, Leadership, Problem-solving, Communication, Teamwork","Machine Learning, Data Science, Computer Vision","Cybersecurity Analyst, Data Scientist, Software Engineer","Hiking, Photography, Reading, Music, Sports, Cooking",Auditory,Small group,Morning,"Cybersecurity, AI"
202549162,Jeremiah,Alice,Martinez,Male,2003-04-30,United States,United States,(970) 529-8774,jeremiah.martinez8@gmail.com,"931 Oak Street, Apt 122",Houston,WA,98656,Duke University,2.38,2.52; 3.95; 2.56; 3.05; 3.55; 2.58,41,74,4,"BIO202, DS401, MATH101, DS401",13,"Machine Learning, Cybersecurity, Pandas, TensorFlow, SQL, JavaScript, Java, Deep Learning, Docker","Time Management, Communication, Problem-solving","Machine Learning, Data Science, Computer Vision, None",Data Scientist,"Music, Hiking",Auditory,Small group,Late night,NLP
202414909,Jose,Lyla,Kim,Male,2006-01-03,United States,United States,(373) 513-7000,jose.kim41@gmail.com,1207 Maple Street,Los Angeles,GA,81231,University of Pennsylvania,2.81,3.2; 3.12; 3.55; 2.49; 2.01,128,2,5,"PHYS101, MATH101, DATA201, ECON101, DATA201",18,"Python, Docker, Deep Learning, Cybersecurity, Pandas","Leadership, Communication, Time Management, Problem-solving, Teamwork",Cybersecurity,Software Engineer,"Reading, Hiking, Cooking, Gaming, Sports, Photography",Kinesthetic,Alone,Afternoon,"Cybersecurity, Data Science, Computer Vision, Machine Learning, NLP"
202256799,Piper,Theo,Lewis,Female,2001-10-15,United States,United States,(701) 410-2869,piper.lewis25@gmail.com,6180 Sunset Way,Seattle,FL,38359,University of California--Los Angeles,3.56,3.54; 2.76; 2.83,141,0,6,"AI501, MATH101, EE301, PSY101, CYBER301, DS401",20,"PyTorch, Python, JavaScript, Docker, Pandas","Problem-solving, Teamwork, Leadership","Computer Vision, NLP, Machine Learning",Cybersecurity Analyst,"Photography, Cooking",Auditory,Alone,Morning,"Cybersecurity, NLP, Machine Learning"
202035867,Roman,Wyatt,Gonzalez,Male,2003-01-18,United States,United States,(836) 553-8810,roman.gonzalez71@gmail.com,4528 Park Drive,Boston,IL,83253,University of Chicago,2.76,2.49; 2.72; 3.58,97,14,6,"DS401, PHYS101, DS401, MATH101, CYBER301, MATH101",20,"PyTorch, TensorFlow, Python, JavaScript, R, Cybersecurity, Machine Learning, Java, SQL","Time Management, Communication, Critical Thinking, Leadership, Problem-solving, Teamwork","NLP, None, Computer Vision",Cybersecurity Analyst,"Sports, Gaming, Reading, Photography",Kinesthetic,Alone,Evening,Cybersecurity
202284970,Naomi,Layla,Scott,Female,2002-12-15,United States,United States,(643) 567-6068,naomi.scott67@gmail.com,"894 Oak Drive, Apt 101",Seattle,FL,14644,Massachusetts Institute of Technology,3.87,None,33,84,5,"MATH101, PSY101, PHYS101, ECON101, CS101",18,"Python, Cybersecurity, Deep Learning, Machine Learning, SQL","Teamwork, Communication, Problem-solving","None, Cybersecurity","ML Engineer, Cybersecurity Analyst, Data Scientist","Photography, Gaming, Sports, Music, Hiking, Reading",Kinesthetic,Online,Morning,"NLP, None, Computer Vision"
202114136,Wyatt,Charlotte,Diaz,Male,2004-07-19,United States,United States,(546) 222-8195,wyatt.diaz10@gmail.com,7366 Sunset Street,Atlanta,CA,71671,Yale University,3.32,2.16; 3.98; 2.22; 3.34; 2.21,113,8,4,"CYBER301, AI501, CYBER301, ML502",14,"Docker, SQL, Java, PyTorch, Git, Deep Learning, Cybersecurity, AWS, Pandas","Leadership, Teamwork, Time Management, Communication, Problem-solving, Critical Thinking",Artificial Intelligence,"Cybersecurity Analyst, ML Engineer, Software Engineer, AI Researcher","Sports, Music, Reading, Hiking",Kinesthetic,One-on-one,Evening,"NLP, Data Science, Cybersecurity, None"
202246024,Luke,Sophie,Flores,Male,2003-07-23,United States,United States,(793) 358-5738,luke.flores72@gmail.com,3134 Lake Way,Houston,GA,92931,Harvard University,2.52,3.37; 2.56; 2.99; 3.42; 3.63,55,73,6,"DATA201, EE301, ML502, ECON101, CS101, DATA201",23,"Deep Learning, Machine Learning, AWS, Docker, Cybersecurity, Python, Pandas, JavaScript","Problem-solving, Critical Thinking, Time Management, Leadership, Communication, Teamwork","Computer Vision, Artificial Intelligence, Cybersecurity","AI Researcher, Data Scientist","Reading, Cooking, Photography, Music",Visual,Online,Afternoon,"NLP, Data Science, Cybersecurity, Computer Vision, Machine Learning"
202435861,Natalie,Abigail,Ruiz,Female,2001-08-23,United States,United States,(696) 247-5964,natalie.ruiz36@gmail.com,1437 Hill Street,Seattle,TX,59879,University of Chicago,3.73,2.69,68,45,6,"MATH101, EE301, ML502, PSY101, ML502, EE301",21,"Docker, Cybersecurity, Deep Learning, Java, SQL, Python, R, Machine Learning, Git","Teamwork, Leadership, Communication, Problem-solving, Critical Thinking, Time Management","Cybersecurity, None","ML Engineer, AI Researcher, Software Engineer","Hiking, Cooking, Photography, Sports, Gaming, Music",Auditory,One-on-one,Late night,"Data Science, Cybersecurity"
202599559,Rylee,Zoe,Wright,Female,2004-10-10,United States,United States,(534) 888-9315,rylee.wright72@gmail.com,"5618 Park Boulevard, Apt 193",Houston,FL,54336,Cornell University,3.47,2.01,100,10,5,"ML502, AI501, ECON101, AI501, ML502",18,"Python, Pandas, AWS, TensorFlow, SQL, C++","Problem-solving, Teamwork, Leadership, Critical Thinking, Communication, Time Management",None,"Cybersecurity Analyst, AI Researcher, Data Scientist, Software Engineer","Photography, Sports, Gaming, Hiking, Reading, Music",Reading/Writing,Online,Morning,"Cybersecurity, Machine Learning, Data Science, NLP"
202555915,Emery,Aurora,Allen,Female,2004-02-14,United States,United States,(263) 691-9349,emery.allen19@gmail.com,8144 Oak Boulevard,Miami,NY,61064,Yale University,2.63,2.86; 2.67; 3.71; 3.37; 3.61,102,27,4,"EE301, BIO202, PSY101, PHYS101",15,"Python, Docker, PyTorch, Cybersecurity","Time Management, Teamwork, Leadership",None,"ML Engineer, Software Engineer, Cybersecurity Analyst","Photography, Music, Sports",Auditory,Small group,Late night,"None, Computer Vision, Machine Learning, Cybersecurity, Data Science"
202152132,Camila,Victoria,Smith,Female,2005-04-03,United States,United States,(228) 393-4776,camila.smith73@gmail.com,9557 Maple Lane,Los Angeles,TX,85020,Harvard University,3.74,3.8; 2.08; 2.14,42,85,4,"CS201, ECON101, AI501, MATH101",14,"Cybersecurity, Pandas, Python, R, TensorFlow, Git, PyTorch, AWS, Deep Learning","Leadership, Critical Thinking, Communication, Teamwork, Problem-solving","Cybersecurity, NLP, None","ML Engineer, AI Researcher","Gaming, Music, Hiking, Photography, Cooking",Kinesthetic,Alone,Afternoon,None
202252279,Cameron,Penelope,Moore,Male,2001-11-21,United States,United States,(951) 722-9626,cameron.moore73@gmail.com,"7537 Hill Avenue, Apt 20",Chicago,WA,16105,University of Illinois Urbana-Champaign,3.91,2.71; 2.32,128,1,4,"DS401, CS101, EE301, AI501",15,"SQL, Deep Learning, TensorFlow, Java, C++, AWS, Git, Docker, Pandas","Problem-solving, Communication, Critical Thinking, Time Management, Leadership, Teamwork",,"Software Engineer, Cybersecurity Analyst, Data Scientist","Cooking, Music, Photography",Reading/Writing,One-on-one,Afternoon,"AI, Computer Vision, Cybersecurity"
202414877,Madison,Samuel,Bennett,Female,2001-07-25,United States,United States,(427) 566-6207,madison.bennett4@gmail.com,"2405 Main Road, Apt 6",Los Angeles,CA,70318,New York University,3.67,2.14; 3.19; 3.61; 2.5,78,46,3,"MATH101, CYBER301, AI501",11,"TensorFlow, JavaScript, R","Teamwork, Critical Thinking, Time Management, Problem-solving","Computer Vision, Cybersecurity","Cybersecurity Analyst, ML Engineer, Software Engineer","Photography, Gaming",Reading/Writing,Alone,Morning,Computer Vision
202164086,Aurora,Lucy,Harris,Female,2006-01-22,United States,United States,(278) 764-3589,aurora.harris21@gmail.com,5989 Sunset Street,New York,TX,23586,Harvard University,3.5,4.0; 3.7; 2.89; 2.91; 2.47,138,0,3,"PHYS101, CS201, PSY101",11,"PyTorch, SQL, Python, Machine Learning, Git, Java, JavaScript, Cybersecurity","Communication, Time Management, Problem-solving, Leadership, Teamwork",NLP,"Software Engineer, AI Researcher, ML Engineer","Cooking, Hiking, Reading, Sports",Reading/Writing,Alone,Morning,"Computer Vision, AI, None, Cybersecurity, Machine Learning"
202286643,Mateo,Beau,Myers,Male,2001-10-14,United States,United States,(373) 383-6072,mateo.myers52@gmail.com,"1943 Hill Road, Apt 157",New York,TX,73166,Duke University,2.99,2.38; 3.78; 3.72; 3.59; 3.96; 2.99,139,0,6,"AI501, PSY101, DATA201, CS101, ECON101, MATH101",22,"SQL, Machine Learning, Python, Git, TensorFlow, Cybersecurity, AWS, Pandas, Docker","Critical Thinking, Problem-solving, Communication","Artificial Intelligence, NLP","Cybersecurity Analyst, ML Engineer","Photography, Reading",Kinesthetic,Alone,Late night,Cybersecurity
202067945,Theodore,Lucy,Murphy,Male,2004-09-14,United States,United States,(536) 326-4724,theodore.murphy57@gmail.com,5901 Park Street,Denver,GA,81880,University of Illinois Urbana-Champaign,2.95,3.78; 2.53,89,23,5,"DS401, BIO202, CS201, ECON101, PSY101",17,"AWS, PyTorch, Git, C++, Machine Learning, Cybersecurity, SQL, Docker","Communication, Leadership, Critical Thinking",,"ML Engineer, Software Engineer, Data Scientist, Cybersecurity Analyst","Music, Photography",Visual,Online,Morning,Data Science
202364761,Julian,Adrian,Diaz,Male,2006-04-19,United States,United States,(975) 313-9796,julian.diaz1@gmail.com,"2625 Cedar Lane, Apt 192",Denver,IL,23732,Cornell University,3.46,2.5; 3.73,36,84,3,"MATH101, BIO202, DS401",10,"Cybersecurity, Docker, Deep Learning","Leadership, Time Management, Communication, Critical Thinking, Problem-solving","Data Science, Artificial Intelligence, Computer Vision","Cybersecurity Analyst, ML Engineer, Software Engineer, Data Scientist","Music, Gaming, Reading, Hiking, Cooking",Auditory,One-on-one,Morning,"Machine Learning, AI, NLP"
202095005,Jack,Hunter,Lee,Male,2002-12-25,United States,United States,(380) 887-3706,jack.lee44@gmail.com,6056 Hill Boulevard,Houston,IL,70799,University of California--Los Angeles,3.85,3.57; 2.11,41,74,3,"EE301, ML502, PHYS101",11,"Git, Machine Learning, C++, Python, AWS, JavaScript, Cybersecurity, Java, R","Time Management, Critical Thinking, Teamwork",Cybersecurity,"Software Engineer, ML Engineer, Data Scientist, Cybersecurity Analyst","Hiking, Photography",Reading/Writing,Small group,Late night,Machine Learning
202151302,Hannah,Audrey,Rivera,Female,2002-03-09,United States,United States,(262) 833-3427,hannah.rivera23@gmail.com,"5310 Oak Boulevard, Apt 113",Los Angeles,IL,64178,University of Washington,2.56,2.81; 3.61; 2.69; 3.72,64,58,3,"MATH101, CS201, EE301",11,"Deep Learning, SQL, R, Python, AWS","Problem-solving, Time Management, Communication",,"ML Engineer, Cybersecurity Analyst, Software Engineer, Data Scientist","Photography, Cooking",Auditory,One-on-one,Morning,AI
202053413,Nathan,Olivia,Adams,Male,2004-04-14,United States,United States,(850) 522-4974,nathan.adams8@gmail.com,8542 Elm Avenue,New York,CA,46261,Carnegie Mellon University,3.03,3.4,95,35,6,"CS101, EE301, BIO202, MATH101, DATA201, EE301",23,"Docker, Python, C++, Cybersecurity, PyTorch","Leadership, Problem-solving, Time Management","Cybersecurity, Artificial Intelligence","Software Engineer, ML Engineer","Hiking, Reading, Photography, Sports",Reading/Writing,One-on-one,Evening,"Machine Learning, NLP, Computer Vision, AI"
